epoch,type,loss,action_loss,lr
1,train,0.0358,0.0358,0.001000
1,validation,0.0338,0.0338,0.001000
2,train,0.0336,0.0336,0.001000
2,validation,0.0336,0.0336,0.001000
3,train,0.0336,0.0336,0.001000
3,validation,0.0338,0.0338,0.001000
4,train,0.0336,0.0336,0.001000
4,validation,0.0338,0.0338,0.001000
5,train,0.0336,0.0336,0.001000
5,validation,0.0336,0.0336,0.001000
6,train,0.0335,0.0335,0.001000
6,validation,0.0337,0.0337,0.001000
7,train,0.0335,0.0335,0.001000
7,validation,0.0336,0.0336,0.001000
8,train,0.0335,0.0335,0.001000
8,validation,0.0336,0.0336,0.001000
9,train,0.0335,0.0335,0.001000
9,validation,0.0338,0.0337,0.001000
10,train,0.0335,0.0335,0.001000
10,validation,0.0337,0.0337,0.001000
10,test,0.0336,0.0336,0.001000
11,train,0.0335,0.0335,0.001000
11,validation,0.0337,0.0337,0.001000
12,train,0.0335,0.0335,0.001000
12,validation,0.0338,0.0338,0.001000
13,train,0.0335,0.0335,0.001000
13,validation,0.0340,0.0340,0.001000
14,train,0.0334,0.0334,0.000500
14,validation,0.0339,0.0337,0.000500
15,train,0.0334,0.0334,0.000500
15,validation,0.0338,0.0337,0.000500
16,train,0.0334,0.0334,0.000500
16,validation,0.0337,0.0337,0.000500
17,train,0.0334,0.0334,0.000500
17,validation,0.0338,0.0338,0.000500
18,train,0.0334,0.0334,0.000500
18,validation,0.0338,0.0338,0.000500
19,train,0.0334,0.0334,0.000500
19,validation,0.0337,0.0337,0.000500
20,train,0.0334,0.0334,0.000250
20,validation,0.0339,0.0338,0.000250
20,test,0.0335,0.0335,0.000250
21,train,0.0334,0.0334,0.000250
21,validation,0.0336,0.0336,0.000250
22,train,0.0334,0.0334,0.000250
22,validation,0.0336,0.0336,0.000250
23,train,0.0334,0.0334,0.000250
23,validation,0.0336,0.0336,0.000250
24,train,0.0334,0.0334,0.000250
24,validation,0.0337,0.0337,0.000250
25,train,0.0334,0.0334,0.000250
25,validation,0.0338,0.0338,0.000250
26,train,0.0334,0.0334,0.000250
26,validation,0.0336,0.0336,0.000250
27,train,0.0334,0.0334,0.000250
27,validation,0.0339,0.0338,0.000250
28,train,0.0334,0.0334,0.000125
28,validation,0.0338,0.0337,0.000125
29,train,0.0334,0.0334,0.000125
29,validation,0.0337,0.0337,0.000125
30,train,0.0334,0.0334,0.000125
30,validation,0.0338,0.0338,0.000125
30,test,0.0335,0.0335,0.000125
31,train,0.0334,0.0334,0.000125
31,validation,0.0336,0.0336,0.000125
32,train,0.0334,0.0334,0.000125
32,validation,0.0336,0.0336,0.000125
33,train,0.0334,0.0334,0.000125
33,validation,0.0336,0.0336,0.000125
34,train,0.0334,0.0334,0.000063
34,validation,0.0337,0.0336,0.000063
35,train,0.0334,0.0334,0.000063
35,validation,0.0336,0.0336,0.000063
36,train,0.0334,0.0334,0.000063
36,validation,0.0336,0.0336,0.000063
37,train,0.0334,0.0334,0.000063
37,validation,0.0336,0.0336,0.000063
38,train,0.0334,0.0334,0.000063
38,validation,0.0336,0.0336,0.000063
39,train,0.0334,0.0334,0.000063
39,validation,0.0337,0.0336,0.000063
40,train,0.0334,0.0334,0.000031
40,validation,0.0336,0.0336,0.000031
40,test,0.0335,0.0335,0.000031
41,train,0.0334,0.0334,0.000031
41,validation,0.0336,0.0336,0.000031
42,train,0.0334,0.0334,0.000031
42,validation,0.0336,0.0336,0.000031
43,train,0.0334,0.0334,0.000031
43,validation,0.0336,0.0336,0.000031
44,train,0.0334,0.0334,0.000031
44,validation,0.0337,0.0336,0.000031
45,train,0.0334,0.0334,0.000031
45,validation,0.0336,0.0336,0.000031
46,train,0.0334,0.0334,0.000031
46,validation,0.0336,0.0336,0.000031
47,train,0.0329,0.0329,0.000031
47,validation,0.0328,0.0328,0.000031
48,train,0.0323,0.0323,0.000031
48,validation,0.0320,0.0320,0.000031
49,train,0.0319,0.0319,0.000031
49,validation,0.0322,0.0322,0.000031
50,train,0.0320,0.0320,0.000031
50,validation,0.0320,0.0320,0.000031
50,test,0.0319,0.0319,0.000031
51,train,0.0319,0.0319,0.000031
51,validation,0.0328,0.0328,0.000031
52,train,0.0328,0.0328,0.000031
52,validation,0.0331,0.0331,0.000031
53,train,0.0324,0.0324,0.000031
53,validation,0.0324,0.0324,0.000031
54,train,0.0317,0.0317,0.000031
54,validation,0.0316,0.0316,0.000031
55,train,0.0315,0.0315,0.000031
55,validation,0.0316,0.0316,0.000031
56,train,0.0315,0.0315,0.000031
56,validation,0.0318,0.0318,0.000031
57,train,0.0314,0.0314,0.000031
57,validation,0.0314,0.0314,0.000031
58,train,0.0313,0.0313,0.000031
58,validation,0.0315,0.0315,0.000031
59,train,0.0313,0.0313,0.000031
59,validation,0.0313,0.0313,0.000031
60,train,0.0311,0.0311,0.000031
60,validation,0.0312,0.0312,0.000031
60,test,0.0311,0.0311,0.000031
61,train,0.0309,0.0309,0.000031
61,validation,0.0310,0.0310,0.000031
62,train,0.0308,0.0308,0.000031
62,validation,0.0308,0.0308,0.000031
63,train,0.0306,0.0306,0.000031
63,validation,0.0307,0.0307,0.000031
64,train,0.0305,0.0305,0.000031
64,validation,0.0305,0.0305,0.000031
65,train,0.0302,0.0302,0.000031
65,validation,0.0302,0.0302,0.000031
66,train,0.0301,0.0301,0.000031
66,validation,0.0302,0.0302,0.000031
67,train,0.0299,0.0299,0.000031
67,validation,0.0300,0.0300,0.000031
68,train,0.0297,0.0297,0.000031
68,validation,0.0296,0.0296,0.000031
69,train,0.0293,0.0293,0.000031
69,validation,0.0290,0.0290,0.000031
70,train,0.0288,0.0288,0.000031
70,validation,0.0288,0.0288,0.000031
70,test,0.0288,0.0288,0.000031
71,train,0.0285,0.0285,0.000031
71,validation,0.0295,0.0295,0.000031
72,train,0.0283,0.0283,0.000031
72,validation,0.0279,0.0279,0.000031
73,train,0.0281,0.0281,0.000031
73,validation,0.0278,0.0278,0.000031
74,train,0.0277,0.0277,0.000031
74,validation,0.0277,0.0277,0.000031
75,train,0.0276,0.0276,0.000031
75,validation,0.0275,0.0275,0.000031
76,train,0.0274,0.0274,0.000031
76,validation,0.0267,0.0267,0.000031
77,train,0.0270,0.0270,0.000031
77,validation,0.0263,0.0263,0.000031
78,train,0.0269,0.0269,0.000031
78,validation,0.0262,0.0262,0.000031
79,train,0.0264,0.0264,0.000031
79,validation,0.0260,0.0260,0.000031
80,train,0.0261,0.0261,0.000031
80,validation,0.0272,0.0272,0.000031
80,test,0.0259,0.0259,0.000031
81,train,0.0261,0.0261,0.000031
81,validation,0.0257,0.0257,0.000031
82,train,0.0261,0.0261,0.000031
82,validation,0.0256,0.0256,0.000031
83,train,0.0257,0.0257,0.000031
83,validation,0.0263,0.0263,0.000031
84,train,0.0256,0.0256,0.000031
84,validation,0.0252,0.0252,0.000031
85,train,0.0254,0.0254,0.000031
85,validation,0.0253,0.0253,0.000031
86,train,0.0251,0.0251,0.000031
86,validation,0.0254,0.0254,0.000031
87,train,0.0251,0.0251,0.000031
87,validation,0.0248,0.0248,0.000031
88,train,0.0250,0.0250,0.000031
88,validation,0.0250,0.0250,0.000031
89,train,0.0249,0.0249,0.000031
89,validation,0.0254,0.0254,0.000031
90,train,0.0248,0.0248,0.000031
90,validation,0.0248,0.0248,0.000031
90,test,0.0247,0.0247,0.000031
91,train,0.0252,0.0252,0.000031
91,validation,0.0249,0.0249,0.000031
92,train,0.0250,0.0250,0.000031
92,validation,0.0249,0.0249,0.000031
93,train,0.0254,0.0254,0.000031
93,validation,0.0250,0.0250,0.000031
94,train,0.0247,0.0247,0.000016
94,validation,0.0244,0.0244,0.000016
95,train,0.0245,0.0245,0.000016
95,validation,0.0245,0.0245,0.000016
96,train,0.0245,0.0245,0.000016
96,validation,0.0244,0.0244,0.000016
97,train,0.0244,0.0244,0.000016
97,validation,0.0243,0.0243,0.000016
98,train,0.0244,0.0244,0.000016
98,validation,0.0243,0.0243,0.000016
99,train,0.0244,0.0244,0.000016
99,validation,0.0242,0.0242,0.000016
100,train,0.0243,0.0243,0.000016
100,validation,0.0242,0.0242,0.000016
100,test,0.0242,0.0242,0.000016
